DATE,MARY_M,JESSICA_M,OLIVIA_M,JOHN_M,MICHAEL_M,ETHAN_M,LESLIE_M,TAYLOR_M,QUINN_M,CHRISTINE_M,CHRIS_M,CHRISTOPHER_M,CHRISTIAN_M,CHRISTA_M,CHRISTY_M,CHRISTIE_M,CHRISTINA_M,KRISTY_M,KRISTINE_M,KRISTOPHER_M,CHRISTIANA_M,KRISTINA_M,KRIS_M,MARY_F,JESSICA_F,OLIVIA_F,JOHN_F,MICHAEL_F,ETHAN_F,LESLIE_F,TAYLOR_F,QUINN_F,CHRISTINE_F,CHRIS_F,CHRISTOPHER_F,CHRISTIAN_F,CHRISTA_F,CHRISTY_F,CHRISTIE_F,CHRISTINA_F,KRISTY_F,KRISTINE_F,KRISTOPHER_F,CHRISTIANA_F,KRISTINA_F,KRIS_F
2007,0,0,0,73,107,293,0,41,26,0,6,86,35,0,0,0,0,0,0,0,0,0,0,32,82,216,0,0,0,0,92,17,11,0,0,0,0,0,0,22,0,0,0,0,10,0
2008,0,0,0,70,105,287,0,22,29,0,7,66,43,0,0,0,0,0,0,5,0,0,0,21,81,213,0,0,0,0,122,11,12,0,0,0,0,0,0,15,0,0,0,0,8,0
2009,0,0,0,60,96,301,0,24,43,0,6,54,47,0,0,0,0,0,0,0,0,0,0,11,52,249,0,0,0,0,96,12,14,0,0,0,0,0,0,33,0,0,0,0,9,0
2010,0,0,0,71,99,248,0,21,34,0,8,58,41,0,0,0,0,0,0,0,0,0,0,22,62,301,0,0,0,0,74,34,8,0,0,0,0,0,0,15,0,0,0,0,5,0
2011,0,0,0,76,94,246,0,21,30,0,0,55,21,0,0,0,0,0,0,5,0,0,0,14,55,247,0,0,0,0,65,37,10,0,0,0,0,0,0,8,0,0,0,0,0,0
2012,0,0,0,56,92,297,0,18,30,0,8,46,31,0,0,0,0,0,0,0,0,0,0,19,49,276,0,0,0,0,70,43,9,0,0,0,0,0,0,16,0,0,0,0,0,0
2013,0,0,0,60,98,234,0,20,26,0,5,39,33,0,0,0,0,0,0,0,0,0,0,16,34,285,0,0,0,0,37,54,6,0,0,0,0,0,0,17,0,0,0,0,7,0
2014,0,0,0,71,80,256,0,15,24,0,0,35,27,0,0,0,0,0,0,0,0,0,0,16,29,294,0,0,0,0,52,47,6,0,0,0,0,0,0,14,0,0,0,0,0,0
2015,0,0,0,73,77,206,0,18,22,0,0,41,31,0,0,0,0,0,0,0,0,0,0,25,39,256,0,0,0,0,39,54,8,0,0,0,0,0,0,14,0,0,0,0,5,0
Total,8,0,0,32258,34493,5326,2362,2083,991,0,406,19510,1987,0,0,0,0,0,0,978,0,0,82,13109,10068,4772,19,0,0,2336,3428,444,6459,0,0,0,372,478,494,5300,888,892,0,16,1725,0
